,Images,Name,Biodata
0,"[[[160 172 174]
  [160 172 174]
  [161 173 175]
  ...
  [131 145 144]
  [131 145 144]
  [131 145 144]]

 [[160 172 174]
  [160 172 174]
  [161 173 175]
  ...
  [128 142 141]
  [128 142 141]
  [128 142 141]]

 [[161 173 175]
  [161 173 175]
  [161 173 175]
  ...
  [126 140 139]
  [126 140 139]
  [126 140 139]]

 ...

 [[225 201 177]
  [232 210 185]
  [222 205 179]
  ...
  [175 119  70]
  [180 124  77]
  [183 127  80]]

 [[230 206 182]
  [233 211 186]
  [222 204 181]
  ...
  [175 119  70]
  [180 124  77]
  [183 127  80]]

 [[222 199 177]
  [226 203 181]
  [227 206 185]
  ...
  [170 115  64]
  [174 121  71]
  [179 126  76]]]",shah rukh khan,"Shahrukh Khan was born on 2 November 1965 in New Delhi, India. He married Gauri Khan on 25 October 1991. They have three children, son Aryan Khan (b. 1997), son AbRam (b.2013) and daughter Suhana (b. 2000). Khan started out his career by appearing in several television serials during 1988-1990. He ...                "
1,"[[[ 15  71  76]
  [ 15  71  76]
  [ 14  72  77]
  ...
  [  6  15  12]
  [  6  15  12]
  [  6  15  12]]

 [[ 16  72  77]
  [ 16  72  77]
  [ 14  72  77]
  ...
  [  6  15  12]
  [  6  15  12]
  [  6  15  12]]

 [[ 18  74  79]
  [ 17  73  78]
  [ 14  72  77]
  ...
  [  6  15  12]
  [  6  15  12]
  [  6  15  12]]

 ...

 [[  3   6   4]
  [  3   6   4]
  [  3   6   4]
  ...
  [196 184 172]
  [187 174 160]
  [181 168 154]]

 [[  3   6   4]
  [  3   6   4]
  [  3   6   4]
  ...
  [167 153 141]
  [192 179 165]
  [216 203 189]]

 [[  8   9   7]
  [  8   9   7]
  [  8   9   7]
  ...
  [207 191 179]
  [232 216 203]
  [238 222 209]]]",aamir khan,Aamir is no doubt one of the most dedicated actors in this world. With his recent success in India and China markets combined he has got the title of World's Biggest Superstar. He went through rapid transformations in his body structure for his films to bring out the reality factor in his ...                
2,"[[[250 250 250]
  [250 250 250]
  [250 250 250]
  ...
  [250 250 250]
  [250 250 250]
  [250 250 250]]

 [[250 250 250]
  [250 250 250]
  [250 250 250]
  ...
  [250 250 250]
  [250 250 250]
  [250 250 250]]

 [[250 250 250]
  [250 250 250]
  [250 250 250]
  ...
  [250 250 250]
  [250 250 250]
  [250 250 250]]

 ...

 [[ 31  48  69]
  [ 30  49  70]
  [ 32  50  73]
  ...
  [  0   0   1]
  [  0   0   1]
  [  4   3   5]]

 [[ 34  51  72]
  [ 35  52  73]
  [ 37  53  76]
  ...
  [  2   1   3]
  [  3   2   4]
  [  5   4   6]]

 [[ 29  47  70]
  [ 32  48  71]
  [ 35  48  74]
  ...
  [  3   3   3]
  [  3   3   3]
  [  3   3   3]]]",salman khan,"Born on December 27, 1965 Salman Khan is the son of the legendary writer Salim Khan, who penned many super-hits in the yesteryear's like Sholay (1975), Deewaar (1975), and Don (1978). Salman started his acting carrier in 1988 by doing a supporting role in the movie Biwi Ho To Aisi (1988). The ...                "
3,"[[[ 82  84 102]
  [ 81  83 101]
  [ 81  84  99]
  ...
  [250 239 231]
  [250 239 231]
  [250 239 231]]

 [[ 74  76  94]
  [ 80  82 100]
  [ 83  86 101]
  ...
  [250 239 231]
  [250 239 231]
  [250 239 231]]

 [[ 68  70  88]
  [ 80  82 100]
  [ 84  87 102]
  ...
  [250 239 231]
  [250 239 231]
  [250 239 231]]

 ...

 [[171 204 250]
  [171 204 250]
  [171 204 250]
  ...
  [ 19  11  21]
  [ 37  31  36]
  [ 60  55  57]]

 [[171 204 250]
  [171 204 250]
  [171 204 250]
  ...
  [ 23  18  27]
  [ 32  27  36]
  [ 40  38  44]]

 [[170 205 249]
  [171 206 250]
  [172 207 251]
  ...
  [ 13  12  22]
  [ 12  13  23]
  [ 23  25  35]]]",katrina kaif,"Katrina Kaif is one of eight siblings, 7 girls and 1 boy, from a mother who is a Caucasian of British Nationality, and a father who was formerly from Kashmir, India, but who has since acquired British citizenship. Her mother is now re-settled in Chennai (formerly known as Madras), the Capital of ...                "
4,"[[[  6   1   3]
  [  6   1   3]
  [  6   1   3]
  ...
  [ 17  10  17]
  [ 17  10  17]
  [ 17  10  17]]

 [[  6   1   3]
  [  6   1   3]
  [  6   1   3]
  ...
  [ 17  10  17]
  [ 17  10  17]
  [ 17  10  17]]

 [[  6   1   3]
  [  6   1   3]
  [  6   1   3]
  ...
  [ 17  10  17]
  [ 17  10  17]
  [ 17  10  17]]

 ...

 [[148 129 146]
  [171 153 170]
  [170 155 176]
  ...
  [ 41  22 185]
  [ 40  24 172]
  [ 39  23 165]]

 [[162 143 162]
  [107  90 111]
  [153 141 163]
  ...
  [ 39  18 194]
  [ 41  20 183]
  [ 38  19 176]]

 [[144 135 162]
  [200 190 220]
  [217 206 238]
  ...
  [ 38  18 191]
  [ 39  16 185]
  [ 36  13 181]]]",kareena kapoor,"Kareena was born to Sindhi-speaking Babita (nee Shivdasani) and Punjabi-speaking Randhir Kapoor in Bombay, India. She has an elder sister, Karisma.She is born in a family that have been actors for generations, including her paternal great-grandfather, Prithviraj Kapoor; her grandfather, Raj Kapoor;...                "
5,"[[[ 31  33  34]
  [ 22  24  24]
  [ 17  17  17]
  ...
  [170 179 193]
  [126 136 160]
  [ 96 106 136]]

 [[ 27  29  30]
  [ 19  21  22]
  [ 17  17  17]
  ...
  [149 158 172]
  [110 120 144]
  [ 84  94 124]]

 [[ 23  24  28]
  [ 17  19  20]
  [ 18  18  18]
  ...
  [136 144 161]
  [103 112 139]
  [ 85  93 123]]

 ...

 [[ 81  76  73]
  [ 67  62  59]
  [ 36  32  31]
  ...
  [213 210 202]
  [221 218 210]
  [216 213 205]]

 [[ 81  72  68]
  [ 83  77  72]
  [ 61  56  53]
  ...
  [219 216 208]
  [223 220 212]
  [209 206 198]]

 [[ 68  55  47]
  [ 65  54  46]
  [ 72  62  55]
  ...
  [212 209 201]
  [213 210 202]
  [208 205 197]]]",karisma kapoor,"Born into Bombay filmdom's legendary Kapoor clan, Karisma Kapoor made her film debut with Prem Qaidi (1991) opposite Harish. Her next big hit was Anari (1993) and during this time she made news with a fight with her Andaz Apna Apna (1994) co-star, actress Raveena Tandon. She had a series of hit ...                "
6,"[[[121 206 228]
  [121 206 228]
  [121 206 228]
  ...
  [115  92  90]
  [124  98  91]
  [123  98  88]]

 [[121 206 228]
  [121 206 228]
  [121 206 228]
  ...
  [113  90  88]
  [123  99  93]
  [125 100  90]]

 [[121 206 228]
  [121 206 228]
  [121 206 228]
  ...
  [108  87  85]
  [123  99  93]
  [125 102  94]]

 ...

 [[ 63  42  21]
  [ 63  42  21]
  [ 63  42  21]
  ...
  [ 63  50  36]
  [ 63  50  36]
  [ 63  50  36]]

 [[ 63  42  21]
  [ 63  42  21]
  [ 63  42  21]
  ...
  [ 63  49  37]
  [ 63  50  36]
  [ 63  50  36]]

 [[ 60  39  18]
  [ 61  40  19]
  [ 61  40  19]
  ...
  [ 59  47  37]
  [ 59  47  35]
  [ 59  47  35]]]",hrithik roshan,"Hrithik Roshan is an Indian actor, born on 10th January 1974, well known globally for his versatile roles, unmatchable dancing skills and attractive looks.After having appeared in films as a child actor in the 1980s, Roshan made his film debut in a leading role in Kaho Naa... Pyaar Hai (2000) for ...                "
7,"[[[147 163 170]
  [142 158 165]
  [140 153 161]
  ...
  [237 235 227]
  [237 235 227]
  [237 235 227]]

 [[151 167 174]
  [148 164 171]
  [145 158 166]
  ...
  [238 236 228]
  [238 236 228]
  [238 236 228]]

 [[157 173 180]
  [154 170 177]
  [153 166 174]
  ...
  [240 238 230]
  [240 238 230]
  [240 238 230]]

 ...

 [[ 76  77  75]
  [ 73  74  72]
  [ 72  73  71]
  ...
  [ 48  51  49]
  [ 48  51  49]
  [ 48  51  49]]

 [[100  98  97]
  [ 92  93  91]
  [ 90  88  87]
  ...
  [ 41  44  42]
  [ 42  45  43]
  [ 42  45  43]]

 [[ 97  93  92]
  [ 96  94  93]
  [ 98  94  93]
  ...
  [ 35  38  36]
  [ 33  36  34]
  [ 31  34  32]]]",priyanka chopra,"Priyanka Chopra Jonas (née Chopra) was born on July 18, 1982 in Jamshedpur, India, to the family of Capt. Dr. Ashok Chopra and Dr. Madhu Chopra, both Indian Army physicians. She had a very varied upbringing. She started her education at La Martinière Girls College in Lucknow as a resident student; ...                "
8,"[[[128 107  92]
  [128 107  92]
  [129 108  93]
  ...
  [134 126 186]
  [134 126 186]
  [135 127 187]]

 [[128 107  92]
  [126 107  92]
  [129 108  93]
  ...
  [136 126 186]
  [136 126 186]
  [137 127 187]]

 [[126 107  92]
  [124 108  92]
  [127 108  93]
  ...
  [138 125 187]
  [138 125 187]
  [139 126 188]]

 ...

 [[103 111 124]
  [ 62  68  75]
  [ 52  54  54]
  ...
  [ 72  56  50]
  [ 80  64  58]
  [ 90  74  68]]

 [[106 115 125]
  [ 99 105 112]
  [ 22  25  23]
  ...
  [ 66  50  44]
  [ 75  59  53]
  [ 88  72  66]]

 [[ 87  97 104]
  [108 114 119]
  [146 148 148]
  ...
  [ 83  67  61]
  [ 86  67  62]
  [ 87  68  63]]]",amitabh bachchan,"Son of well known poet Harivansh Rai Bachchan and Teji Bachchan. He has a brother named Ajitabh. He completed his education from Uttar Pradesh and moved to Bombay to find work as a film star, in vain though, as film-makers preferred someone with a fairer skin, and he was not quite fair enough. But ...                "
9,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[ 31  19  15]
  [ 32  17  14]
  [ 34  16  15]
  ...
  [231 247 253]
  [231 247 253]
  [231 247 253]]

 [[ 32  17  14]
  [ 32  17  14]
  [ 33  15  14]
  ...
  [231 247 253]
  [231 247 253]
  [231 247 253]]

 [[ 32  14  13]
  [ 32  14  13]
  [ 34  14  13]
  ...
  [231 247 253]
  [231 247 253]
  [231 247 253]]]",ranbir kapoor,"Son of Rishi Kapoor and Neetu Singh; nephew of actors Randhir Kapoor, Rajiv Kapoor, Kunal Kapoor. Grandnephew of actors Shashi Kapoor, Jennifer Kendal, Shammi Kapoor, Geeta Bali; cousin of actresses Kareena Kapoor, Karisma Kapoor.Belongs to the fourth generation of highly prestigious and considered ...                "
